season,ru_rank,queen,age,dob,city,state
S03,10,India Ferrah,23,1986-05-08,Dayton, Ohio
S03,11,Mimi Imfurst,27,1983-03-02,New York, New York
S03,12,Phoenix,29,1979-12-11,Atlanta, Georgia
S03,13,Venus D-Lite,26,1984-09-19,Los Angeles, California
S04,1,Sharon Needles,29,1981-11-28,Pittsburgh, Pennsylvania
S04,2,Chad Michaels,40,1971-03-20,San Diego, California
S04,2,Phi Phi O'Hara,25,1985-10-10,Chicago, Illinois
S04,4,Latrice Royale,39,1972-02-12,South Beach, Florida
S04,5,Kenya Michaels,21,1990-05-08,Dorado, Puerto Rico
S04,6,Dida Ritz,25,1986-12-20,Chicago, Illinois
S04,7,Willam,29,1982-06-30,Los Angeles, California
S04,8,Jiggly Caliente,30,1981-11-29,Queens, New York
S04,9,Milan,36,1975-05-27,Florence, South Carolina
S04,10,Madame LaQueer,29,1982-10-05,Carolina, Puerto Rico
S04,11,The Princess,32,1980-02-27,Chicago, Illinois
S04,12,Lashauwn Beyond,21,1989-11-11,Fort Lauderdale,Florida
S04,13,Alisa Summers,23,1988-06-15,Tampa, Florida
S05,1,Jinkx Monsoon,24,1987-09-18,Seattle, Washington
S05,2,Alaska,27,1985-03-06,Pittsburgh, Pennsylvania
S05,2,Roxxxy Andrews,28,1983-09-23,Orlando, Florida
S05,4,Detox,27,1985-06-03,Los Angeles, California
S05,5,Coco Montrese,37,1974-07-02,Las Vegas, Nevada
S05,6,Alyssa Edwards,32,1980-01-16,Mesquite, Texas
S05,7,Ivy Winters,26,1986-10-05,New York, New York
S05,8,Jade Jolie,25,1986-11-02,Gainesville, Florida
S05,9,Lineysha Sparx,24,1988-07-08,San Juan, Puerto Rico
S05,10,Vivienne Pinay,26,1985-08-02,New York, New York
S05,10,Honey Mahogany,29,1983-12-28,San Francisco, California
S05,12,Monica Beverly Hillz,27,1985-01-31,Owensboro, Kentucky
S05,13,Serena Cha Cha,21,1990-09-17,Tallahassee, Florida
S05,14,Penny Tration,39,1972-10-12,Cincinnati, Ohio
S06,1,Bianca Del Rio,36,1975-06-27,New Orleans, Louisiana
S06,2,Adore Delano,23,1989-09-29,Azusa, California
S06,2,Courtney Act,31,1982-02-18,West Hollywood, California
S06,4,Darienne Lake,41,1971-11-27,Rochester, New York
S06,5,BenDeLaCreme,31,1982-09-24,Seattle, Washington
S06,6,Joslyn Fox,26,1986-07-27,Worcester, Massachusetts
S06,7,Trinity K. Bonet,22,1991-01-31,Atlanta, Georgia
S06,8,Laganja Estranja,24,1988-12-28,Van Nuys, California
S06,9,Milk,25,1987-06-23,New York, New York
S06,10,Gia Gunn,23,1990-05-10,Chicago, Illinois
S06,11,April Carrión,24,1989-04-23,Guaynabo, Puerto Rico
S06,12,Vivacious,40,1974-03-07,New York, New York
S06,13,Magnolia Crawford,27,1985-04-14,Seattle, Washington
S06,13,Kelly Mantle,37,1976-07-09,Los Angeles, California
S07,1,Violet Chachki,22,1992-06-13,Atlanta, Georgia
S07,2,Ginger Minj,29,1984-09-11,Orlando, Florida
S07,2,Pearl,23,1990-09-11,Brooklyn, New York
S07,4,Kennedy Davenport,33,1982-09-09,Dallas, Texas
S07,5,Katya,32,1982-05-01,Boston, Massachusetts
S07,6,Trixie Mattel,26,1989-08-23,Milwaukee, Wisconsin
S07,7,Miss Fame,29,1985-03-30,New York, New York
S07,8,Jaidynn Diore Fierce,25,1988-12-17,Nashville, Tennessee
S07,9,Max,22,1992-06-24,Hudson, Wisconsin
S07,10,Kandy Ho,28,1987-09-24,Cayey, Puerto Rico
S07,11,Mrs. Kasha Davis,43,1971-03-12,Rochester, New York
S07,12,Jasmine Masters,37,1977-10-16,Los Angeles, California
S07,13,Sasha Belle,28,1986-03-19,Iowa City, Iowa
S07,14,Tempest DuJour,46,1967-09-01,Tucson, Arizona
S08,1,Bob the Drag Queen,29,1986-06-22,Brooklyn, New York
S08,2,Kim Chi,27,1987-08-08,Chicago, Illinois
S08,2,Naomi Smalls,21,1993-09-08,Redlands, California
S08,4,Chi Chi DeVayne,30,1985-09-24,Shreveport, Louisiana
S08,5,Derrick Barry,32,1983-07-18,Las Vegas, Nevada
S08,6,Thorgy Thor,31,1984-05-25,Brooklyn, New York
S08,7,Robbie Turner,33,1982-07-27,Seattle, Washington
S08,8,Acid Betty,37,1977-12-10,Brooklyn, New York
S08,9,Naysha Lopez,31,1985-06-20,Chicago, Illinois
S08,10,Cynthia Lee Fontaine,34,1981-02-16,Austin, Texas
S08,11,Dax ExclamationPoint,31,1984-07-29,Savannah, Georgia
S08,11,Laila McQueen,22,1983-06-22,Gloucester, Massachusetts
S09,1,Sasha Velour,29,1987-06-25,Brooklyn, New York
S09,2,Peppermint,37,1980-01-31,New York, New York
S09,3,Shea Couleé,27,1989-02-08,Chicago, Illinois
S09,3,Trinity Taylor,31,1984-12-10,Orlando, Florida
S09,5,Alexis Michelle,33,1984-10-16,New York, New York
S09,6,Nina Bo'nina Brown,34,1982-07-12,Atlanta, Georgia
S09,7,Valentina,25,1991-05-14,Los Angeles, California
S09,8,Farrah Moan,23,1993-09-11,Las Vegas, Nevada
S09,9,Aja,22,1994-01-04,Brooklyn, New York
S09,10,Cynthia Lee Fontaine,34,1981-02-16,Austin, Texas
S09,11,Eureka O'Hara,25,1990-08-26,Johnson City, Tennessee
S09,12,Charlie Hides,52,1964-07-12,Boston, Massachusetts
S09,13,Kimora Blac,28,1988-12-15,Las Vegas, Nevada
S09,14,Jaymes Mansfield,26,1990-02-19,Madison, Wisconsin
S10,1,Aquaria,21,1996-02-12,Brooklyn, New York
S10,11,Eureka O'Hara,27,1990-08-26,Johnson City, Tennessee
S10,2,Kameron Michaels,31,1986-07-23,Nashville, Tennessee
S10,4,Asia O'Hara,35,1982-07-07,Dallas, Texas
S10,5,Miz Cracker,33,1984-04-19,Harlem, New York
S10,6,Monét X Change,31,1990-03-23,The Bronx, New York
S10,7,The Vixen,26,1990-12-11,Chicago, Illinois
S10,8,Monique Heart,27,1986-05-22,Kansas City, Missouri
S10,9,Blair St. Clair,22,1995-05-16,Indianapolis, Indiana
S10,10,Mayhem Miller,35,1982-02-09,Riverside, California
S10,11,Dusty Ray Bottoms,29,1987-09-27,New York, New York
S10,12,Yuhua Hamasaki,27,1990-03-01,New York, New York
S10,13,Kalorie Karbdashian Williams,27,1990-05-23,Albuquerque, New Mexico
S10,14,Vanessa Vanjie Mateo,25,1991-10-03,Tampa, Florida
S11,1,Yvie Oddly,24,1993-08-22,Denver, Colorado
S11,2,Brooke Lynn Hytes,32,1986-03-10,Toronto, Ontario
S11,3,A'Keria C. Davenport,30,1988-03-01,Dallas, Texas
S11,3,Silky Nutmeg Ganache,28,1990-12-30,Moss Point, Mississippi
S11,14,Vanessa Vanjie Mateo,26,1991-10-03,Tampa, Florida
S11,6,Nina West,39,1979-08-04,Greentown, Ohio
S11,7,Shuga Cain,40,1977-11-20,Magalia, California
S11,8,Plastique Tiara,21,1997-04-11,Dallas, Texas
S11,9,Ra'Jah O'Hara,33,1985-12-31,Dallas, Texas
S11,10,Scarlet Envy,26,1992-02-26,Louisville, Kentucky
S11,11,Ariel Versace,26,1992-04-13,Cherry Hill, New Jersey
S11,11,Mercedes Iman Diamond,30,1986-12-12,Minneapolis, Minnesota
S11,13,Honey Davenport,32,1986-08-13,Philadelphia, Pennsylvania
S11,14,Kahanna Montrese,25,1993-03-25,Las Vegas, Nevada
S11,15,Soju,27,1991-05-08,Chicago, Illinois
S12,2,Crystal Methyd,28,1991-04-16,Springfield, Missouri
S12,2,Gigi Goode,21,1997-12-02,Los Angeles, California
S12,1,Jaida Essence Hall,32,1986-12-09,Milwaukee, Wisconsin
S12,DISQ,Sherry Pie,27,1991-11-14,New York, New York
S12,4,Jackie Cox,34,1985-04-10,New York, New York
S12,5,Heidi N Closet,24,1984-09-29,Ramseur, North Carolina
S12,6,Widow Von'Du,30,1989-04-17,Kansas City, Missouri
S12,7,Jan,26,1993-06-11,New York, New York
S12,8,Brita,34,1985-09-16,New York, New York
S12,9,Aiden Zhane,29,1990-07-16,Acworth, Georgia
S12,10,Nicky Doll,28,1991-03-14,New York, New York
S12,11,Rock M. Sakura,28,1990-10-15,San Francisco, California
S12,12,Dahlia Sin,28,1991-05-13,Los Angeles, California
